Country
Austria 
Greece 
Netherlands
Belgium 
Ireland 
Portugal
Cyprus 
Italy 
Slovak Republic
Estonia 
Latvia 
Slovenia
Finland 
Lithuania 
Spain
France 
Luxembourg
Germany 
Malta
Canada 
Italy 
United States
France 
Japan
Germany 
United Kingdom
Australia 
Korea 
Singapore
Czech Republic 
Macao
Sweden
Denmark 
New Zealand 
Switzerland
Hong Kong
Norway 
Taiwan
Iceland 
Puerto Rico
Israel 
San Marino
